Inventory Category,Part Family,Part Name,Master Part Number,EBOM Reference Part Numbers,Used In Models,Quantity Range,Material / Technology,Manufacturing Process,Make / Buy,Rev,Interchangeability Code,Compliance & Standards,Notes
Thermal,Heat Sink,Active Cooler Pipe,M-THM-8004,700-51-10,Entry,1,C1100 Copper,Stamped / Brazed,Make,A.2,Not Interchangeable,RoHS,Single Heat Pipe
Battery,Battery Pack,4-Cell 99Wh,E-PWR-9001,900-71-00,Gaming,1,Li-Polymer,Assembly,Buy,A.1,Not Interchangeable,UN38.3,Airline Legal Max
Battery,Battery Pack,65Wh High Density,E-PWR-9002,600-71-00,Ultrabook,1,Li-Cobalt,Assembly,Buy,A.2,Not Interchangeable,UN38.3,750 Wh/L Density
Battery,Battery Pack,3-Cell 42Wh,E-PWR-9003,700-61-00,Entry,1,Li-Polymer,Assembly,Buy,A.1,Not Interchangeable,UN38.3,Cost-optimized
HMI Components,Keyboard,Mech-Switch RGB,E-HMI-1101,900-61-10,Gaming,1,Steel / Plastic,Assembly,Buy,A.1,Not Interchangeable,USB-IF,Per-Key RGB
HMI Components,Keyboard,Chiclet US,E-HMI-1102,700-71-10,Entry,1,ABS / Membrane,Molded / Printed,Buy,A.1,Conditionally,RoHS,Non-backlit
HMI Components,Trackpad,Haptic Force Pad,E-HMI-1103,600-61-20,Ultrabook,1,Glass / LRA,Assembly,Buy,B.1,Not Interchangeable,RoHS,Piezo-Electric
I/O & RF,WLAN,Wi-Fi 6E / BT 5.3,E-RF-1201,800-51-20,"Business, Gaming",1,M.2 2230,SMT,Buy,B.0,Fully Interchangeable,IEEE 802.11ax,Intel AX211
I/O & RF,Connector,Structural USB-C,M-CON-1202,600-81-10,"Ultrabook, Business",2,SUS304 Steel,CNC / Laser Weld,Make,A.2,Conditionally,USB 4.0 / TB4,High-stress bracket
Fasteners,Screw Kit,M2.0/M2.5 Standard,M-FAS-1301,700-91-00,All,1-20,SCM435 Steel,Cold Heading,Buy,A.0,Fully Interchangeable,RoHS,Zinc Plated
Fasteners,TIM,Graphite Pad,M-THM-1302,900-91-50,"Gaming, Ultrabook",1-4,Synthetic Graphite,Die-Cut,Buy,A.0,Fully Interchangeable,RoHS,EMI/Thermal Shield
