Part Name,Part Type,Quantity,Parent Assembly,Material,Weight,Standard vs Custom,Valid From,Valid To,Change No.
PCB Solder Mask,Material,1,Fan Control PCB,Epoxy,0 g,Standard,15.12.2019,31.12.9999,5000000035
PCB Silkscreen Ink,Material,1,Fan Control PCB,Ink,0 g,Standard,01.01.2020,31.12.9999,5000000036
Fan Cable – 4 Wire,Electrical,1,Cooling Fan Assembly,Copper + PVC,1 g,Standard,15.01.2020,31.12.9999,5000000037
Fan Connector – JST 4 Pin,Electrical,1,Cooling Fan Assembly,Nylon + Copper,0.3 g,Standard,01.02.2020,31.12.9999,5000000038
Strain Relief Grommet,Mechanical,1,Cooling Fan Assembly,Rubber,0.3 g,Standard,20.02.2020,31.12.9999,5000000039
EMI Suppression Ferrite Bead,Electrical,1,Cooling Fan Assembly,Ferrite,0.1 g,Standard,01.03.2020,31.12.9999,5000000040
Anti-Vibration Rubber Pad – 1,Mechanical,1,Cooling Fan Assembly,Silicone Rubber,0.4 g,Standard,15.03.2020,31.12.9999,5000000041
Anti-Vibration Rubber Pad – 2,Mechanical,1,Cooling Fan Assembly,Silicone Rubber,0.4 g,Standard,01.04.2020,31.12.9999,5000000042
Anti-Vibration Rubber Pad – 3,Mechanical,1,Cooling Fan Assembly,Silicone Rubber,0.4 g,Standard,15.04.2020,31.12.9999,5000000043
Anti-Vibration Rubber Pad – 4,Mechanical,1,Cooling Fan Assembly,Silicone Rubber,0.4 g,Standard,01.05.2020,31.12.9999,5000000044
Foam Air Seal,Material,1,Cooling Fan Assembly,PU Foam,0.5 g,Standard,20.05.2020,31.12.9999,5000000045
Dust Protection Mesh,Mechanical,1,Cooling Fan Assembly,Nylon Mesh,0.3 g,Optional,01.06.2020,31.12.9999,5000000046
Label – Fan Model & Rating,Material,1,Cooling Fan Assembly,PET,0.1 g,Standard,15.06.2020,31.12.9999,5000000047
Assembly Screw – Fan Housing 1,Fastener,1,Cooling Fan Assembly,Steel,0.2 g,Standard,01.07.2020,31.12.9999,5000000048
Assembly Screw – Fan Housing 2,Fastener,1,Cooling Fan Assembly,Steel,0.2 g,Standard,20.07.2020,31.12.9999,5000000049
Assembly Screw – Fan Housing 3,Fastener,1,Cooling Fan Assembly,Steel,0.2 g,Standard,01.08.2020,31.12.9999,5000000050
Assembly Screw – Fan Housing 4,Fastener,1,Cooling Fan Assembly,Steel,0.2 g,Standard,15.08.2020,31.12.9999,5000000051
Motor Assembly Process,Process,1,Cooling Fan Assembly,N/A,0 g,Standard,01.09.2020,31.12.9999,5000000052
Impeller Balancing Process,Process,1,Cooling Fan Assembly,N/A,0 g,Standard,20.09.2020,31.12.9999,5000000053
PCB SMT Assembly Process,Process,1,Cooling Fan Assembly,N/A,0 g,Standard,01.10.2020,31.12.9999,5000000054
Reflow Soldering Process,Process,1,Cooling Fan Assembly,N/A,0 g,Standard,15.10.2020,31.12.9999,5000000055
Fan Housing Ultrasonic Welding,Process,1,Cooling Fan Assembly,N/A,0 g,Standard,01.11.2020,31.12.9999,5000000056
Functional Spin Test,Process,1,Cooling Fan Assembly,N/A,0 g,Standard,15.11.2020,31.12.9999,5000000057
Noise & Vibration Test,Process,1,Cooling Fan Assembly,N/A,0 g,Standard,01.12.2020,31.12.9999,5000000058
Power Consumption Test,Process,1,Cooling Fan Assembly,N/A,0 g,Standard,15.12.2020,31.12.9999,5000000059
Final Visual Inspection,Process,1,Cooling Fan Assembly,N/A,0 g,Standard,01.01.2021,31.12.9999,5000000060
