Part Name,Part Type,Quantity,Parent Assembly,Material,Weight,Standard vs Custom,Valid From,Valid To,Change No.
X-Ray Inspection – BGA,Process,1,SSD / Storage Assembly,N/A,0 g,Optional,01.05.2020,31.12.9999,5000000044
Firmware Programming Process,Process,1,SSD / Storage Assembly,N/A,0 g,Standard,20.05.2020,31.12.9999,5000000045
Bad Block Mapping Process,Process,1,SSD / Storage Assembly,N/A,0 g,Standard,01.06.2020,31.12.9999,5000000046
Functional Read/Write Test,Process,1,SSD / Storage Assembly,N/A,0 g,Standard,15.06.2020,31.12.9999,5000000047
Performance Validation Test,Process,1,SSD / Storage Assembly,N/A,0 g,Optional,01.07.2020,31.12.9999,5000000048
Burn-In Stress Test,Process,1,SSD / Storage Assembly,N/A,0 g,Optional,20.07.2020,31.12.9999,5000000049
Label – Capacity & Model,Material,1,SSD / Storage Assembly,PET,0.2 g,Standard,01.08.2020,31.12.9999,5000000050
Regulatory Label – CE/FCC,Material,1,SSD / Storage Assembly,PET,0.2 g,Standard,15.08.2020,31.12.9999,5000000051
Protective Film – Gold Fingers,Material,1,SSD / Storage Assembly,PET,0.3 g,Standard,01.09.2020,31.12.9999,5000000052
Final Visual Inspection,Process,1,SSD / Storage Assembly,N/A,0 g,Standard,20.09.2020,31.12.9999,5000000053
