Level,Parent Part Number,Parent Description,Child Description,UOM,Node Type,Make/Buy,Work Center,Procurement Steps,Operations (Routing Embedded),Consumables,Qty,Child Part Number,Hierarchy Path,Revision,Effective Date,Inventory Status,Stock_Qty,Store_Location,Procurement Action,Approved_Supplier,Lead_Time_Days,timestamp,company_id
2,CHR-ADA-SUB-0001,AC-DC Power Adapter Sub-Assembly,Internal Shielding Tape,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-ADA-MAT-0002,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-ADA-MAT-0002,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
2,CHR-ADA-SUB-0001,AC-DC Power Adapter Sub-Assembly,Power PCB Assembly,EA,Sub-Assembly,Make,SMT_LINE,Kitting -> Assembly -> In-process QC -> Final Test -> Packing -> FG Receipt,10: SMT Placement | 20: Reflow Soldering | 30: AOI Inspection | 40: Functional Test,Solder Paste,1,CHR-PCB-SUB-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
2,CHR-DCC-SUB-0001,DC Output Cable Assembly,Connector Overmold,EA,Mechanical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-DCC-MEC-0001,CHR-TOP-ASM-0001 > CHR-DCC-SUB-0001 > CHR-DCC-MEC-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
2,CHR-DCC-SUB-0001,DC Output Cable Assembly,DC Cable Ferrite Core,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Cable Tie,1,CHR-DCC-ELE-0001,CHR-TOP-ASM-0001 > CHR-DCC-SUB-0001 > CHR-DCC-ELE-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
2,CHR-DCC-SUB-0001,DC Output Cable Assembly,DC Connector (USB-C / Barrel),EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-DCC-ELE-0002,CHR-TOP-ASM-0001 > CHR-DCC-SUB-0001 > CHR-DCC-ELE-0002,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
2,CHR-DCC-SUB-0001,DC Output Cable Assembly,DC Output Cable,EA,Component,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Cable Tie,1,CHR-DCC-CMP-0001,CHR-TOP-ASM-0001 > CHR-DCC-SUB-0001 > CHR-DCC-CMP-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-DCC-CMP-0001,DC Output Cable,DC Cable Shield Braid,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Cable Tie,1,CHR-DCC-MAT-0001,CHR-TOP-ASM-0001 > CHR-DCC-SUB-0001 > CHR-DCC-CMP-0001 > CHR-DCC-MAT-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-HSG-MEC-0001,Adapter Housing – Top Shell,Housing Flame Retardant System,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Adhesive,1,CHR-HSG-MAT-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-HSG-MEC-0001 > CHR-HSG-MAT-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-HSG-MEC-0002,Adapter Housing – Bottom Shell,Housing Internal Rib Structure,EA,Mechanical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Adhesive,1,CHR-HSG-MEC-0003,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-HSG-MEC-0002 > CHR-HSG-MEC-0003,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,AC Input Fuse,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-ACC-ELE-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-ACC-ELE-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Active PFC Controller IC,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0010,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0010,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Bridge Rectifier,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0008,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0008,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,EMI Common Mode Choke,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0003,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0003,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,EMI Differential Mode Inductor,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0004,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0004,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,EMI X-Class Capacitor,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0005,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0005,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,EMI Y-Class Capacitor – Line to GND,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0006,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0006,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,EMI Y-Class Capacitor – Neutral to GND,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0007,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0007,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,MOV Surge Suppressor,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Main PWM Controller IC,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0013,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0013,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,NTC Inrush Current Limiter,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0002,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0002,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Optocoupler Feedback Device,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0021,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0021,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Output Electrolytic Capacitor,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0019,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0019,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Output Filter Inductor,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0018,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0018,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Output MLCC Capacitor,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0020,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0020,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Output OVP / UVP IC,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0023,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0023,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,PFC Boost Diode,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0012,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0012,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,PFC MOSFET,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0011,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0011,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Power PCB Bare Board,EA,Component,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Solder,1,CHR-PCB-CMP-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-CMP-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Primary Aluminum Heatsink,EA,Mechanical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Thermal Paste,1,CHR-PCB-MEC-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-MEC-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Primary Bulk Capacitor,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0009,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0009,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Primary Switching MOSFET,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0014,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0014,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Primary Transformer,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0015,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0015,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Reflow Soldering Process,EA,Process,Make,QA_STATION,Kitting -> Assembly -> In-process QC -> Final Test -> Packing -> FG Receipt,10: Setup Equipment | 20: Execute Process/Test | 30: Log Results,Na,1,CHR-PCB-PRC-0003,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-PRC-0003,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,SMT Assembly Process,EA,Process,Make,QA_STATION,Kitting -> Assembly -> In-process QC -> Final Test -> Packing -> FG Receipt,10: Setup Equipment | 20: Execute Process/Test | 30: Log Results,Na,1,CHR-PCB-PRC-0002,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-PRC-0002,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Secondary Aluminum Heatsink,EA,Mechanical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Thermal Paste,1,CHR-PCB-MEC-0002,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-MEC-0002,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Secondary Rectifier Diode,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0016,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0016,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Secondary Regulation IC,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0022,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0022,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Synchronous Rectifier MOSFET,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0017,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0017,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
3,CHR-PCB-SUB-0001,Power PCB Assembly,Thermal Fuse,EA,Electrical,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-PCB-ELE-0024,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-ELE-0024,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-ACC-ELE-0001,AC Input Fuse,Fuse Heat Shrink Sleeve,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Na,1,CHR-ACC-MAT-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-ACC-ELE-0001 > CHR-ACC-MAT-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-CMP-0001,Power PCB Bare Board,PCB Copper Layer – Bottom,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Solder,1,CHR-PCB-MAT-0005,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-CMP-0001 > CHR-PCB-MAT-0005,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-CMP-0001,Power PCB Bare Board,PCB Copper Layer – Inner 1,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Solder,1,CHR-PCB-MAT-0003,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-CMP-0001 > CHR-PCB-MAT-0003,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-CMP-0001,Power PCB Bare Board,PCB Copper Layer – Inner 2,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Solder,1,CHR-PCB-MAT-0004,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-CMP-0001 > CHR-PCB-MAT-0004,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-CMP-0001,Power PCB Bare Board,PCB Copper Layer – Top,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Solder,1,CHR-PCB-MAT-0002,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-CMP-0001 > CHR-PCB-MAT-0002,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-CMP-0001,Power PCB Bare Board,PCB ENIG Finish,EA,Process,Make,SMT_LINE,Kitting -> Assembly -> In-process QC -> Final Test -> Packing -> FG Receipt,10: SMT Placement | 20: Reflow Soldering | 30: AOI Inspection | 40: Functional Test,Solder,1,CHR-PCB-PRC-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-CMP-0001 > CHR-PCB-PRC-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
4,CHR-PCB-CMP-0001,Power PCB Bare Board,PCB Glass Epoxy Core,EA,Material,Buy,INCOMING_QC,PR -> PO -> GRN -> Incoming QC -> Putaway -> Issue,,Solder,1,CHR-PCB-MAT-0001,CHR-TOP-ASM-0001 > CHR-ADA-SUB-0001 > CHR-PCB-SUB-0001 > CHR-PCB-CMP-0001 > CHR-PCB-MAT-0001,,,Unknown,0,,,,0,2026-03-01T01:48:33.151420,-1
