Part Name,Part Type,Quantity,Parent Assembly,Material,Weight,Standard vs Custom
Output MLCC Capacitor,Electrical,1,Power PCB Assembly,MLCC,0.2 g,Standard
Optocoupler Feedback Device,Electrical,1,Power PCB Assembly,Silicon,0.4 g,Standard
Secondary Regulation IC,Electrical,1,Power PCB Assembly,Silicon,0.2 g,Standard
Output OVP / UVP IC,Electrical,1,Power PCB Assembly,Silicon,0.15 g,Standard
Thermal Fuse,Electrical,1,Power PCB Assembly,Bimetal,0.8 g,Standard
Primary Aluminum Heatsink,Mechanical,1,Power PCB Assembly,Aluminum,22 g,Custom
Secondary Aluminum Heatsink,Mechanical,1,Power PCB Assembly,Aluminum,18 g,Custom
Heatsink Anodization,Process,1,Primary Aluminum Heatsink,N/A,0 g,Custom
Thermal Interface Pad – Primary,Material,1,Primary Aluminum Heatsink,Silicone,0.6 g,Custom
Thermal Interface Pad – Secondary,Material,1,Secondary Aluminum Heatsink,Silicone,0.6 g,Custom
Internal Electrical Insulation Sheet,Material,1,AC-DC Power Adapter Sub-Assembly,PET (Mylar),4 g,Standard
Internal Shielding Tape,Material,1,AC-DC Power Adapter Sub-Assembly,Copper Foil,2 g,Custom
AC Input Cable Assembly,Sub-Assembly,1,Laptop Charger Assembly,N/A,0 g,Standard
AC Input Cable,Component,1,AC Input Cable Assembly,Copper / PVC,120 g,Standard
AC Plug (Country Specific),Mechanical,1,AC Input Cable Assembly,Copper / PC,35 g,Standard
Strain Relief – AC Side,Mechanical,1,AC Input Cable Assembly,TPE,6 g,Standard
DC Output Cable Assembly,Sub-Assembly,1,Laptop Charger Assembly,N/A,0 g,Custom
DC Output Cable,Component,1,DC Output Cable Assembly,Copper / TPE,95 g,Custom
DC Cable Shield Braid,Material,1,DC Output Cable,Tinned Copper,6 g,Custom
DC Cable Ferrite Core,Electrical,1,DC Output Cable Assembly,Ferrite,6 g,Standard
DC Connector (USB-C / Barrel),Electrical,1,DC Output Cable Assembly,Copper Alloy,5 g,Custom
Connector Overmold,Mechanical,1,DC Output Cable Assembly,TPE,4 g,Custom
Adapter Rating & Safety Label,Material,1,Laptop Charger Assembly,PET,1.5 g,Standard
Laser Marking / Printing Process,Process,1,Adapter Rating & Safety Label,N/A,0 g,Standard
SMT Assembly Process,Process,1,Power PCB Assembly,N/A,0 g,Custom
Reflow Soldering Process,Process,1,Power PCB Assembly,N/A,0 g,Custom
Hi-Pot Safety Test,Process,1,Laptop Charger Assembly,N/A,0 g,Custom
Load Regulation Test,Process,1,Laptop Charger Assembly,N/A,0 g,Custom
Efficiency Measurement Test,Process,1,Laptop Charger Assembly,N/A,0 g,Custom
Thermal Soak Test,Process,1,Laptop Charger Assembly,N/A,0 g,Custom
Burn-In Reliability Test,Process,1,Laptop Charger Assembly,N/A,0 g,Custom
